Title;LeadArtist;Genres;YearOfFoundation;Origin;Website
Thirty Seconds to Mars;Jared Leto;alternative rock;1988;California;thirtysecondstomars.com
Maroon 5;Adam Levine;pop rock, pop, neosoul;1994;California;maroon5.com
